id,first_name,last_name,email,age,gender,state,street_address,postal_code,city,country,latitude,longitude,traffic_source,created_at,user_geom
8777,Ashley,Kent,ashleykent@example.org,43,F,Acre,7603 Dawson Turnpike Suite 717,69980-000,null,Brasil,-8.065346116,-72.87094866,Email,2024-05-05 01:09:00+00:00,POINT(-72.87094866 -8.065346116)
33695,Alyssa,Bradford,alyssabradford@example.net,61,F,Acre,3437 Michael Trail Suite 628,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2021-01-28 12:05:00+00:00,POINT(-72.87094866 -8.065346116)
2484,Cody,Reed,codyreed@example.net,61,M,Acre,0122 Ronald Inlet,69980-000,null,Brasil,-8.065346116,-72.87094866,Organic,2023-01-06 04:18:00+00:00,POINT(-72.87094866 -8.065346116)
86642,Kevin,Douglas,kevindouglas@example.net,25,M,Acre,843 Ferguson Unions,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2024-01-20 08:28:00+00:00,POINT(-72.87094866 -8.065346116)
36462,Louis,Martinez,louismartinez@example.com,47,M,Acre,897 Dawn Radial Suite 340,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2022-07-13 16:26:00+00:00,POINT(-72.87094866 -8.065346116)
48808,Jennifer,Mayo,jennifermayo@example.org,59,F,Acre,89095 Ramirez Plaza,69980-000,null,Brasil,-8.065346116,-72.87094866,Email,2025-08-15 18:42:00+00:00,POINT(-72.87094866 -8.065346116)
81432,Jason,Jackson,jasonjackson@example.net,31,M,Acre,507 Miller Place,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2019-01-07 08:31:00+00:00,POINT(-72.87094866 -8.065346116)
50343,Sandra,Johnson,sandrajohnson@example.com,42,F,Acre,31401 Matthews View,69980-000,null,Brasil,-8.065346116,-72.87094866,Facebook,2020-01-30 05:55:00+00:00,POINT(-72.87094866 -8.065346116)
83788,Stuart,Horn,stuarthorn@example.net,15,M,Acre,347 Torres Valleys,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2022-05-02 08:59:00+00:00,POINT(-72.87094866 -8.065346116)
99958,Dawn,Stark,dawnstark@example.net,18,F,Acre,727 Sarah Lodge Apt. 456,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2023-01-13 16:31:00+00:00,POINT(-72.87094866 -8.065346116)
28813,Brooke,Johnson,brookejohnson@example.com,64,F,Acre,616 Jennifer Trail,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2024-04-28 15:33:00+00:00,POINT(-72.87094866 -8.065346116)
73454,Anthony,Lang,anthonylang@example.org,56,M,Acre,016 Brady Ferry Apt. 591,69980-000,null,Brasil,-8.065346116,-72.87094866,Display,2019-05-15 09:53:00+00:00,POINT(-72.87094866 -8.065346116)
